County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"148,338","6,122",0.041,"2,782",674,484,56,779,0,930,417
Alexander,"37,316",725,0.019,215,114,97,94,117,4,63,21
Alleghany,"11,258","2,311",0.205,540,556,533,20,339,2,123,198
Anson,"25,193","1,268",0.05,216,344,83,65,2,32,480,46
Ashe,"26,491","1,615",0.061,322,703,322,147,16,7,28,70
Avery,"18,303",391,0.021,112,77,56,12,62,4,64,4
Beaufort,"47,393","1,770",0.037,197,464,262,11,95,2,478,261
Bertie,"20,114",983,0.049,386,155,84,15,84,0,259,0
Bladen,"32,043","1,397",0.044,388,285,354,41,106,12,211,0
Brunswick,"107,127","7,819",0.073,"3,073",587,651,250,17,20,497,"2,724"
Buncombe,"230,421","8,429",0.037,0,779,"1,599",123,"1,550",0,"3,410",968
Burke,"89,653","3,895",0.043,"1,008",864,316,33,392,2,771,509
Cabarrus,"174,255","4,846",0.028,773,"1,689","1,048",365,0,0,192,779
Caldwell,"80,130","6,712",0.084,"2,486","2,030",159,199,"1,201",2,471,164
Camden,"9,732","1,340",0.138,307,390,247,36,277,0,83,0
Carteret,"64,712","8,540",0.132,"3,388",325,"3,871",372,327,45,88,124
Caswell,"23,571","2,439",0.103,850,305,575,32,10,0,90,577
Catawba,"157,002","6,598",0.042,"3,064",756,"1,004",103,952,1,718,0
Chatham,"62,482","2,626",0.042,516,367,240,181,622,12,649,39
Cherokee,"27,090","3,981",0.147,919,920,919,166,428,64,565,0
Chowan,"14,818","2,972",0.201,353,"1,513",292,81,502,0,231,0
Clay,"10,538","5,272",0.5,"1,616",686,474,269,"1,581",14,312,320
Cleveland,"98,628","6,065",0.061,140,866,"3,147",127,403,3,423,956
Columbus,"56,309","6,600",0.117,"1,087","1,693","1,252","1,088",890,50,540,0
Craven,"100,261","7,656",0.076,905,558,"1,848","2,424","1,644",6,271,0
Cumberland,"321,071","6,467",0.02,"1,066",622,652,"2,093","1,594",0,440,0
Currituck,"23,815","3,105",0.13,771,728,550,50,774,0,232,0
Dare,"34,355","2,109",0.061,455,393,470,54,380,4,275,78
Davidson,"159,947","2,009",0.013,382,766,118,24,267,2,82,368
Davie,"41,752","2,676",0.064,"1,078",527,423,4,281,4,272,87
Duplin,"53,659","3,898",0.073,"1,124",980,149,683,830,64,1,67
Durham,"266,132","5,798",0.022,"1,379","1,494",909,0,292,54,"1,037",633
Edgecombe,"51,327","4,413",0.086,"1,043",794,981,48,839,5,246,457
Forsyth,"355,575","13,435",0.038,"3,684","2,026","1,561",220,"2,480",56,"2,400","1,008"
Franklin,"59,191","4,853",0.082,353,"1,940",326,12,"1,943",0,267,12
Gaston,"207,234",675,0.003,157,131,133,58,139,8,23,26
Gates,"11,814",2260,0.191,644,704,150,26,444,0,280,12
Graham,"8,327","2,171",0.261,300,436,105,70,253,1,165,841
Granville,"57,434","2,356",0.041,749,945,111,14,444,1,60,32
Greene,"21,384",232,0.011,26,86,50,2,4,0,64,0
Guilford,"475,953","3,124",0.007,289,1053,287,13,301,2,277,902
Halifax,"55,173",157,0.003,21,32,35,29,10,5,25,0
Harnett,"112,844","2,818",0.025,655,914,344,10,380,18,386,111
Haywood,"58,028","4,713",0.081,"1,495","1,696",688,76,82,13,640,23
Henderson,"105,221","2,317",0.022,231,111,127,32,908,0,407,501
Hertford,"24,010","7,929",0.33,"2,858","2,124",366,74,943,0,"1,516",48
Hoke,"46,134",0,0,0,0,0,0,0,0,0,0
