County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"151,745","5,214",0.034,"2,163",733,364,87,952,0,705,210
Alexander,"37,254",0,0,0,0,0,0,0,0,0,0
Alleghany,"11,171","3,402",0.305,748,924,667,116,441,4,167,335
Anson,"26,973","1,330",0.049,216,223,64,98,1,36,621,71
Ashe,"27,378","2,267",0.083,350,964,350,162,13,11,39,378
Avery,"17,812",756,0.042,244,104,96,81,139,7,63,22
Beaufort,"47,929","2,725",0.057,526,424,426,10,245,1,309,784
Bertie,"21,267","1,496",0.07,454,340,146,85,50,0,421,0
Bladen,"35,243","2,605",0.074,346,398,"1,126",29,346,26,334,0
Brunswick,"108,176","8,964",0.083,784,"3,880","2,318",289,426,10,"1,257",0
Buncombe,"239,179","15,914",0.067,"7,906","1,209","2,664",213,737,0,"3,185",0
Burke,"91,008","4,547",0.05,"1,146","1,012",423,28,488,21,877,552
Cabarrus,"179,025","4,185",0.023,785,"1,434",887,196,0,0,198,685
Caldwell,"83,176","7,796",0.094,"2,387","2,387",640,342,"1,133",2,678,227
Camden,"10,000","1,402",0.14,290,616,221,38,210,0,27,0
Carteret,"66,712","14,707",0.22,"6,542",768,"6,536",332,296,27,61,145
Caswell,"23,676","4,288",0.181,"1,250","1,068",770,466,0,0,74,660
Catawba,"154,654","6,723",0.043,"2,891",711,987,47,637,1,"1,449",0
Chatham,"63,870","2,023",0.032,180,222,146,116,748,6,500,105
Cherokee,"27,527","3,816",0.139,736,736,736,472,508,71,557,0
Chowan,"14,762","2,294",0.155,313,985,239,59,420,1,277,0
Clay,"10,622","4,916",0.463,"1,334",737,401,124,"1,823",69,283,145
Cleveland,"98,249","5,972",0.061,202,613,"2,583",90,445,1,475,"1,563"
Columbus,"58,204","6,120",0.105,907,941,"1,664",275,"1,678",81,574,0
Craven,"104,147","4,201",0.04,713,390,"1,070","1,321",613,4,83,7
Cumberland,"326,673","5,404",0.017,"1,080",302,552,"1,771","1,182",2,409,106
Currituck,"23,559","3,131",0.133,701,"1,088",445,80,648,0,169,0
Dare,"33,886","2,801",0.083,712,571,712,105,253,8,379,61
Davidson,"163,488","3,754",0.023,302,"3,061",86,9,267,1,17,11
Davie,"41,378","2,542",0.061,"1,145",520,323,3,158,15,311,67
Duplin,"58,729","2,749",0.047,"1,137",445,90,508,422,41,59,47
Durham,"268,925","3,030",0.011,629,569,377,0,640,19,479,317
Edgecombe,"56,681","2,311",0.041,481,333,622,43,515,3,92,222
Forsyth,"351,798","14,906",0.042,"4,162","3,234","1,953",0,"2,097",24,"3,364",72
Franklin,"60,978","14,302",0.235,816,"5,431",774,86,"6,674",0,510,11
Gaston,"206,384",927,0.004,145,172,115,262,133,0,45,55
Gates,"12,214",1924,0.158,632,567,89,16,445,0,166,9
Graham,"8,888","4,135",0.465,207,130,51,313,862,5,288,"2,279"
Granville,"60,547","5,053",0.083,"2,043","1,708",389,54,533,5,122,199
Greene,"21,277",411,0.019,166,166,0,5,0,0,74,0
Guilford,"490,371","2,118",0.004,118,791,116,0,513,3,300,277
Halifax,"54,627",389,0.007,134,23,88,29,25,38,52,0
Harnett,"115,579","7,695",0.067,543,"2,162","1,012",673,"1,429",32,"1,144",700
Haywood,"59,148","4,105",0.069,"1,317","1,544",298,154,120,6,641,25
Henderson,"107,177","2,888",0.027,155,217,301,0,"1,002",0,91,"1,122"
Hertford,"24,822","7,718",0.311,"3,355","2,049",7,67,"1,473",0,753,14
Hoke,"47,376","1,143",0.024,413,453,118,8,67,0,84,0
Hyde,"5,783",444,0.077,123,123,123,39,8,1,27,0
Iredell,"160,107","4,603",0.029,"1,083",621,1,982,707,0,"1,209",0
Jackson,"40,480","3,819",0.094,"1,099",875,902,5,258,0,680,0
Johnston,"170,151","9,768",0.057,"1,264",622,743,"5,273","1,034",28,781,23
Jones,"10,159","1,120",0.11,389,154,415,2,105,0,46,9
Lee,"58,059","7,038",0.121,"1,794","1,142","1,059",270,"1,309",18,458,988
Lenoir,"59,493","2,330",0.039,440,440,440,40,440,7,402,121
Lincoln,"78,684","3,266",0.042,939,279,542,"1,075",218,53,160,0
Macon,"33,946","4,545",0.134,482,888,871,220,645,114,"1,057",268
Madison,"20,795","6,070",0.292,"1,621","1,211","1,384",44,"1,649",28,52,81
Martin,"24,498","1,587",0.065,256,567,227,2,81,0,218,236
McDowell,"45,031","1,454",0.032,340,162,344,0,0,1,279,328
Mecklenburg,"923,944","3,916",0.004,318,120,360,328,"2,385",0,0,405
Mitchell,"15,588","7,050",0.452,"2,665","1,792",770,341,0,12,40,"1,430"
Montgomery,"27,992","5,848",0.209,"1,367","1,086",992,99,"1,341",5,958,0
Moore,"88,594","3,537",0.04,890,998,133,89,945,1,481,0
Nash,"96,215","7,801",0.081,"1,791","1,392","2,016",27,"1,472",7,380,716
