County,Population,Services,Total
Alamance,"153,033","17,535",0.115
Alexander,"37,361",188,0.005
Alleghany,"11,028","1,080",0.098
Anson,"26,656",29,0.001
Ashe,"29,326",849,0.029
Avery,"17,795",44,0.002
Beaufort,"48,008",202,0.004
Bertie,"20,767",125,0.006
Bladen,"35,146",488,0.014
Brunswick,"112,701","3,845",0.034
Buncombe,"245,228",225,0.001
Burke,"90,051",202,0.002
Cabarrus,"183,806",949,0.005
Caldwell,"82,590",896,0.011
Camden,"10,076",439,0.044
Carteret,"68,151",897,0.013
Caswell,"23,557","1,269",0.054
Catawba,"155,353",965,0.006
Chatham,"66,618",963,0.014
Cherokee,"27,512",580,0.021
Chowan,"14,836",134,0.009
Clay,"10,729","1,121",0.104
Cleveland,"97,800","1,870",0.019
Columbus,"58,107",571,0.01
Craven,"105,080","2,150",0.02
Cumberland,"331,279","1,314",0.004
Currituck,"24,165",858,0.036
Dare,"34,816",154,0.004
Davidson,"163,683",447,0.003
Davie,"41,497",173,0.004
Duplin,"60,100",212,0.004
Durham,"280,921",845,0.003
Edgecombe,"56,039",376,0.007
Forsyth,"357,483",305,0.001
Franklin,"61,633",220,0.004
Gaston,"208,704","1,811",0.009
Gates,"11,957",76,0.006
Graham,"8,798","1,247",0.142
Granville,"58,036",156,0.003
Greene,"21,435",50,0.002
Guilford,"501,058",680,0.001
Halifax,"54,308",246,0.005
Harnett,"120,900",162,0.001
Haywood,"59,276",508,0.009
Henderson,"108,340","3,774",0.035
Hertford,"24,631",238,0.01
Hoke,"49,928",156,0.003
Hyde,"5,718",920,0.161
Iredell,"163,189","1,238",0.008
Jackson,"40,924","2,303",0.056
Johnston,"174,933",225,0.001
Lee,"59,073",92,0.002
Lenior,"59,546",122,0.002
Lincoln,"79,512",446,0.006
Macon,"33,939","1,609",0.047
Madison,"21,092","1,000",0.047
Martin,"24,139",495,0.021
McDowell,"45,269",347,0.008
Mecklenburg,"962,593","6,861",0.007
Mitchell,"15,397","2,431",0.158
Moore,"90,414",455,0.005
Nash,"95,728",418,0.004
New Hanover,"209,846","7,434",0.035
Northampton,"21,521",328,0.015
Onslow,"190,187",76,0
Orange,"138,330","4,910",0.035
Pasquotank,"40,179","1,127",0.028
Pender,"54,259",190,0.004
Perquimans,"13,692",151,0.011
Pitt,"172,569","2,421",0.014
Polk,"20,422",47,0.002
Randolph,"142,471","3,277",0.023
Richmond,"46,398",145,0.003
Robeson,"134,822",611,0.005
Rockingham,"92,977","2,591",0.028
Rowan,"138,252","1,784",0.013
Rutherford,"68,032",198,0.003
Sampson,"64,121",725,0.011
Scotland,"36,387","1,844",0.051
Stanly,"60,636",200,0.003
Stokes,"47,026",150,0.003
Surry,"73,754",105,0.001
Swain,"14,393",615,0.043
Transylvania,"33,189",505,0.015
Tyrrell,"4,188","12,539",2.994
Union,"207,896",949,0.005
Wake,"945,143","1,982",0.002
Warren,"20,746",61,0.003
Washington,"12,920",13,0.001
Watauga,"54,472",205,0.004
Wayne,"124,341",310,0.002
Wilkes,"69,625",184,0.003
Wilson,"82,020",585,0.007
Yadkin,"38,204",120,0.003
Yancey,"17,857","1,143",0.064
