Year,DV,SA
2004-05,50726,8564
2005-06,48173,8721
2006-07,47305,7444
2007-08,41787,6527
2008-09,51873,8494
2009-10,66320,13392
2010-11,61283,13881
2011-12,51563,13214
2012-13,57345,12971
2013-14,55274,13736
2014-15,56664,13655
2015-16,48601,10981
