County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"158,276","10,881",0.069,"2,388","1,049","2,284",220,"1,399",13,992,"1,875"
Alexander,"37,325","1,288",0.035,631,147,122,6,40,2,340,0
Alleghany,"10,837","5,420",0.5,"1,322","1,023","1,420",111,566,30,512,282
Anson,"25,759","1,116",0.043,89,213,41,62,33,60,531,47
Ashe,"27,020","2,142",0.079,482,534,417,58,281,5,133,200
Avery,"17,689","1,542",0.087,911,368,75,6,0,6,145,8
Beaufort,"47,651","1,598",0.034,716,252,338,65,173,1,28,0
Bertie,"20,199","1,782",0.088,533,449,75,40,16,1,632,0
Bladen,"34,318","2,171",0.063,486,696,321,40,45,22,305,180
Brunswick,"122,765","8,065",0.066,"1,715","2,530","1,654",172,105,8,974,363
Buncombe,"253,178","17,848",0.07,"9,127","1,955","1,024",134,"1,982",23,"1,752",506
Burke,"88,842","4,106",0.046,884,992,566,84,579,2,579,279
Cabarrus,"196,762","4,536",0.023,977,951,"1,356",569,417,0,207,0
Caldwell,"81,287","4,914",0.06,779,"1,331",619,"1,227",243,14,455,75
Camden,"10,309","1,173",0.114,272,391,154,32,275,4,45,0
Carteret,"68,879","2,042",0.03,534,366,245,99,405,30,71,186
Caswell,"22,941","1,083",0.047,152,237,237,420,4,0,3,0
Catawba,"155,056","8,281",0.053,"2,902","1,624","1,509",216,984,5,807,0
Chatham,"70,928","1,274",0.018,328,344,111,30,113,10,187,151
Cherokee,"27,178","1,244",0.046,354,216,211,77,302,11,73,0
Chowan,"14,394","1,853",0.129,289,844,228,55,392,0,45,0
Clay,"10,703","4,405",0.412,"1,187",613,928,127,772,18,147,500
Cleveland,"96,879","4,736",0.049,"1,096",388,779,634,384,13,680,658
Columbus,"56,694","1,411",0.025,244,595,76,47,48,46,150,160
Craven,"103,451","10,059",0.097,976,405,"5,761","1,581",416,14,87,519
Cumberland,"323,838","4,630",0.014,"2,611",491,165,368,578,26,232,0
Currituck,"25,263","1,530",0.061,638,106,351,8,340,1,86,0
Dare,"35,663","3,216",0.09,961,497,582,150,502,13,157,180
Davidson,"164,622","3,366",0.02,170,"2,009",61,103,498,1,263,261
Davie,"41,753","2,647",0.063,563,472,227,0,969,2,312,34
Duplin,"59,159","5,251",0.089,"2,381","1,418",381,463,530,21,57,0
Durham,"300,952","2,587",0.009,927,709,428,0,279,27,148,69
Edgecombe,"54,150","3,028",0.056,"1,176",712,591,35,0,4,343,147
Forsyth,369019,"17,808",0.048,4596,1020,5008,1000,427,3,5311,426
Franklin,"63,710","5,410",0.085,861,"1,754",632,22,"1,777",0,312,23
Gaston,"213,442","14,460",0.068,"5,149","2,408","1,930","3,111","1,745",2,109,0
Gates,"11,431",1217,0.106,381,459,130,43,145,0,57,0
Graham,"8,616","1,529",0.177,275,111,95,196,695,6,72,79
Granville,"58,674","1,719",0.029,339,402,66,16,343,3,104,298
Greene,"21,134",479,0.023,206,150,33,8,0,3,79,0
Guilford,"517,600","3,069",0.006,138,641,138,0,1139,0,113,580
Halifax,"52,456","5,605",0.107,"5,300",74,75,58,26,9,33,30
Harnett,"128,140","1,225",0.01,302,310,130,6,58,1,128,245
Haywood,"59,868","4,074",0.068,593,496,334,527,13,25,471,"1,338"
Henderson,"112,655","6,584",0.058,888,643,425,0,"2,217",8,971,"1,124"
Hertford,"24,184","7,120",0.294,"3,338","1,412",54,54,953,0,"1,266",7
Hoke,"52,671",445,0.008,88,76,67,34,26,5,87,0
Hyde,"5,526","1,173",0.212,316,305,171,34,5,1,48,239
Iredell,"169,866","4,758",0.028,638,309,366,897,"1,681",0,777,0
Jackson,"41,265","2,310",0.056,779,515,513,55,162,6,246,0
Johnston,"185,660","11,838",0.064,442,906,478,"8,529",664,5,767,0
Jones,"10,013","1,264",0.126,217,141,436,56,163,0,121,55
Lee,"59,660","2,558",0.043,622,537,583,34,341,20,177,0
Lenoir,"58,106","2,580",0.044,502,657,402,80,502,7,400,30
Lincoln,"81,035","2,197",0.027,440,576,272,592,0,10,73,174
Macon,"34,201","4,652",0.136,"1,559","1,048",993,83,308,13,476,0
Madison,"21,139","2,374",0.112,577,479,490,23,499,27,59,24
Martin,"23,357",805,0.034,228,106,107,1,133,1,93,80
McDowell,"44,989","3,100",0.069,852,51,813,4,241,0,669,378
Mecklenburg,"1,034,070","29,767",0.029,"5,257","5,910","4,367",729,2533,15,"5,226","5,468"
Mitchell,"15,246","8,755",0.574,"3,408","1,581","1,869",189,0,23,20,888
Montgomery,"27,548","1,031",0.037,324,237,70,49,60,3,203,51
Moore,"94,352","3,610",0.038,760,736,662,55,693,6,434,233
Nash,"93,919","5,475",0.058,"2,245","1,307","1,077",14,0,3,618,207
New Hanover,"220,358","9,584",0.043,"4,971",830,676,"1,604",372,10,814,0
Northampton,"20,426","2,959",0.145,"1,322","1,020",128,18,241,10,186,0
Onslow,"186,311","1,668",0.009,351,275,225,542,57,3,215,0
Orange,"141,354","13,605",0.096,"6,281","1,067",642,37,"3,378",0,843,"1,127"
Pamlico,"12,781",630,0.049,239,61,89,13,69,3,22,128
Pasquotank,"39,829","5,787",0.145,"1,754",944,"1,096",106,"1,389",0,213,2
Pender,"57,611",951,0.017,240,109,243,61,149,13,54,0
Perquimans,"13,440","1,670",0.124,312,774,138,76,330,1,39,0
Person,"39,259",286,0.007,129,75,21,13,4,2,42,0
