County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"145,995","5,908",0.04,"2,448",520,514,82,577,0,871,896
Alexander,"36,953","1,525",0.041,406,230,300,26,440,1,92,30
Alleghany,"11,125","1,564",0.141,314,314,535,39,176,3,82,101
Anson,"25,368","1,358",0.054,107,334,54,80,169,36,486,92
Ashe,"26,319","5,338",0.203,461,"1,735",461,347,17,11,11,"2,295"
Avery,"18,428","2,728",0.148,702,630,291,287,390,111,317,0
Beaufort,"46,590","1,134",0.024,298,191,156,9,328,0,58,94
Bertie,"20,074","1,432",0.071,370,300,148,62,140,2,410,0
Bladen,"32,153","2,726",0.085,435,532,"1,233",37,292,2,167,28
Brunswick,"102,857","4,938",0.048,940,794,705,429,75,17,487,"1,491"
Buncombe,"227,875","20,075",0.088,0,"2,653","6,363",249,750,0,"3,457","6,603"
Burke,"89,259","4,435",0.05,"1,748",848,415,35,366,2,646,375
Cabarrus,"170,406","5,569",0.033,797,"1,415","1,371",50,0,0,65,"1,871"
Caldwell,"80,020","4,139",0.052,"1,346","1,346",167,200,883,12,24,161
Camden,"9,730","1,724",0.177,302,730,237,42,336,0,77,0
Carteret,"63,520","3,297",0.052,"1,518",391,605,189,364,13,88,129
Caswell,"23,422","2,049",0.087,694,353,471,23,0,3,105,400
Catawba,"154,941","6,910",0.045,"3,453",832,976,52,713,1,883,0
Chatham,"60,881","2,743",0.045,369,370,236,196,490,11,988,83
Cherokee,"27,128","3,851",0.142,919,920,918,168,292,37,597,0
Chowan,"14,687","3,078",0.21,382,"1,411",303,124,606,0,252,0
Clay,"10,458","3,575",0.342,"1,400",679,499,99,737,13,148,0
Cleveland,"97,936","2,536",0.026,100,318,"1,404",78,304,1,219,112
Columbus,"54,758","9,630",0.176,"1,412","1,297","1,860",427,615,20,"1,166","2,833"
Craven,"97,757","6,050",0.062,801,458,"1,823","1,871",799,7,228,63
Cumberland,"316,914","6,643",0.021,719,"1,164",745,"1,645","1,255",0,"1,115",0
Currituck,"23,773","3,189",0.134,695,967,578,75,647,1,226,0
Dare,"33,955","1,619",0.048,426,292,426,83,86,2,192,112
Davidson,"158,866","2,075",0.013,303,"1,109",360,10,202,0,91,0
Davie,"40,970","3,328",0.081,"1,299",788,515,2,350,4,328,42
Duplin,"53,431","4,189",0.078,"1,670",683,264,822,544,62,1,143
Durham,"260,420","3,608",0.014,851,704,802,11,369,58,401,412
Edgecombe,"51,800","1,484",0.029,482,221,385,9,183,2,101,101
Forsyth,"343,704","10,149",0.03,"1,891","2,769","2,036",84,214,99,"3,056",0
Franklin,"57,923","5,270",0.091,361,"1,520",379,21,"2,471",0,486,32
Gaston,"204,971",783,0.004,252,137,125,89,109,21,50,0
Gates,"11,836",2604,0.22,568,1004,236,144,323,2,327,0
Graham,"8,087","2,763",0.342,224,"1,703",99,51,311,0,87,288
Granville,"56,250",372,0.007,112,69,54,2,69,0,66,0
Greene,"21,205",268,0.013,49,67,54,5,37,0,56,0
Guilford,"468,344","4,015",0.009,295,1346,292,0,390,0,573,1119
Halifax,"55,217",50,0.001,0,8,19,8,9,1,5,0
Harnett,"109,637","9,246",0.084,961,"1,729","1,042",86,"2,721",21,"1,642","1,044"
Haywood,"57,108","5,206",0.091,"1,702","1,722",515,146,148,19,911,43
Henderson,"103,836","1,395",0.013,55,8,108,7,526,8,223,460
Hertford,"23,764","1,792",0.075,481,396,128,212,321,3,251,0
Hyde,"5,516",0,0,0,0,0,0,0,0,0,0
Iredell,"154,135","4,680",0.03,0,0,0,0,0,0,0,0
Jackson,"36,990","2,801",0.076,409,"1,600",108,513,"1,168",1,881,0
Johnston,"162,746","15,984",0.098,493,520,348,71,"1,080",32,131,126
Jones,"10,292",753,0.073,583,533,32,"14,140",337,27,285,47
Lee,"57,500","5,451",0.095,229,109,254,2,93,0,60,6
Lenoir,"57,521","1,728",0.03,"1,545",792,"1,052",213,938,28,512,371
Lincoln,"74,538","3,037",0.041,271,271,271,81,542,4,216,72
Macon,"34,227","3,821",0.112,693,469,432,971,253,45,174,0
Madison,"20,810","3,347",0.161,740,"1,250",665,157,114,24,871,0
Martin,"23,870",667,0.028,709,431,379,182,"1,090",32,132,392
McDowell,"44,562",843,0.019,204,132,128,2,113,4,70,14
Mecklenburg,"877,007","13,477",0.015,215,45,169,0,5,0,227,182
Mitchell,"16,034","8,010",0.5,"2,277",942,"1,433","2,620","2,464",212,"3,411",118
Montgomery,"27,651","5,425",0.196,"2,375","2,773","2,222",340,0,47,253,0
Moore,"85,280","3,887",0.046,"1,607",876,949,33,923,20,"1,017",0
Nash,"93,981","8,380",0.089,"1,203",507,"1,060",56,662,1,398,0
New Hanover,"192,235","9,804",0.051,"2,348","1,525","1,810",19,997,5,454,"1,222"
Northampton,"21,168","1,099",0.052,"6,043","1,026","1,661",856,0,12,206,0
Onslow,"176,004","1,534",0.009,514,266,60,24,55,0,180,0
Orange,"129,296","5,272",0.041,313,313,313,325,110,5,155,0
Pamlico,"12,892","2,272",0.176,658,"1,206","1,012",32,"1,679",0,399,286
Pasquotank,"41,330","10,962",0.265,474,443,612,191,413,0,139,0
Pender,"51,853","1,248",0.024,"2,295","3,980","1,518",453,"2,338",1,377,0
Perquimans,"12,962","2,656",0.205,250,67,105,94,290,20,55,367
Person,"37,510",372,0.01,521,"1,159",287,145,437,4,103,0
Pitt,"155,570","7,790",0.05,131,60,47,21,44,11,51,7
Polk,"18,992",873,0.046,"1,428",719,674,192,"1,066",1,579,"3,131"
Randolph,"140,980","13,182",0.094,168,67,110,9,342,1,110,66
Richmond,"46,842","1,415",0.03,"4,508","3,490","1,615",324,"1,581",159,"1,505",0
Robeson,"130,316","5,909",0.045,244,345,202,47,372,1,204,0
Rockingham,"91,691","16,123",0.176,"1,160",898,750,745,"1,127",55,"1,174",0
Rowan,"138,512","9,433",0.068,"2,596","2,248","1,579",497,552,80,316,"8,255"
Rutherford,"63,555","6,496",0.102,"2,066","1,350","2,066",672,"2,066",16,"1,171",26
Sampson,"65,396","15,644",0.239,"1,567",619,"2,363",261,190,15,"1,445",36
Scotland,"37,064","4,709",0.127,"2,844","3,222","3,052",678,722,1,"1,297","3,828"
Stanly,"59,714","2,898",0.049,224,775,224,81,"2,798",10,271,326
Stokes,"46,638","2,481",0.053,739,457,498,7,663,2,528,4
Surry,"73,388","6,683",0.091,522,326,494,6,471,0,292,370
Swain,"13,982","23,510",1.681,"1,463","1,374",221,6,"1,849",2,"1,751",17
Transylvania,"30,991","4,765",0.154,"5,830","6,877","6,453",243,"3,234",22,328,523
Tyrrell,"4,280",17,0.004,"3,456",251,171,126,574,1,51,135
Union,"191,108","3,987",0.021,3,3,3,0,5,0,2,1
Vance,"43,502","10,537",0.242,510,896,510,811,"1,152",35,73,0
Wake,"864,429","9,871",0.011,"2,888","1,634","2,490",290,"2,808",66,361,0
Warren,"19,918",622,0.031,"1,532","1,842","1,214",637,"2,681",6,"1,908",51
Washington,"13,172",105,0.008,192,82,89,1,176,0,82,0
Watauga,"45,319","2,356",0.052,31,12,31,0,25,0,6,0
Wayne,"115,696","1,259",0.011,"1,247",400,453,61,11,22,162,0
Wilkes,"67,297","4,061",0.06,310,30,278,245,310,0,86,0
Wilson,"78,917","6,606",0.084,873,482,527,29,"1,662",7,429,52
Yadkin,"38,162","2,165",0.057,"1,704",345,"1,431",31,"1,043",32,"1,915",105
Yancey,"18,592","1,910",0.103,535,400,275,63,302,20,551,19
,,,,393,355,444,180,276,8,254,0
