County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"153,595","7,508",0.049,"1,695",457,"1,677",115,822,6,792,"1,944"
Alexander,"37,436",471,0.013,82,90,29,2,22,0,244,2
Alleghany,"11,052","5,561",0.503,"1,457","1,052","1,507",56,609,3,294,583
Anson,"26,318","1,396",0.053,278,263,48,52,4,16,617,118
Ashe,"27,434","2,590",0.094,575,949,575,156,87,4,33,211
Avery,"17,872",378,0.021,128,136,79,6,0,2,27,0
Beaufort,"47,777","1,556",0.033,482,235,61,28,320,7,231,192
Bertie,"20,595","2,220",0.108,695,423,153,96,27,17,809,0
Bladen,"35,209",956,0.027,216,258,230,23,25,10,176,18
Brunswick,"115,716","6,832",0.059,"1,498","2,353","1,460",206,16,21,499,779
Buncombe,"248,872","34,700",0.139,"18,711","2,967","3,562","1,116",759,0,"2,432","5,153"
Burke,"89,519","4,422",0.049,"1,130",719,626,32,595,0,875,445
Cabarrus,"186,457","4,516",0.024,855,"1,872","1,063",577,0,0,149,0
Caldwell,"82,504","7,008",0.085,872,872,872,"2,562",872,2,761,195
Camden,"10,174","2,149",0.211,573,825,236,37,406,0,72,0
Carteret,"69,239","2,778",0.04,638,743,633,202,265,32,67,198
Caswell,"23,844","3,490",0.146,900,465,181,"1,221",0,0,14,709
Catawba,"155,411","6,284",0.04,"2,234",975,"1,208",119,710,0,"1,038",0
Chatham,"67,620","2,680",0.04,111,518,188,175,900,8,669,111
Cherokee,"27,471","1,452",0.053,382,392,398,93,81,5,101,0
Chowan,"14,815","1,722",0.116,468,347,217,25,491,0,174,0
Clay,"10,794","3,704",0.343,"1,306",752,996,97,379,1,166,7
Cleveland,"97,429","9,337",0.096,"3,324",740,"2,836",488,374,6,736,833
Columbus,"57,739","6,763",0.117,"1,552","1,682","2,369",107,260,30,558,205
Craven,"104,421","3,044",0.029,160,288,331,514,233,0,62,"1,456"
Cumberland,"332,553","3,016",0.009,807,259,302,824,599,5,153,67
Currituck,"24,506","3,972",0.162,"1,292",929,444,68,"1,021",0,218,0
Dare,"35,273","1,582",0.045,478,322,478,65,66,4,169,0
Davidson,"163,770","2,540",0.016,796,944,139,25,387,1,103,145
Davie,"41,507","1,843",0.044,645,269,394,0,245,1,212,77
Duplin,"60,104","2,745",0.046,747,532,177,407,743,27,48,64
Durham,"286,053","3,462",0.012,"1,394",273,801,17,298,23,637,19
Edgecombe,"55,704","1,102",0.02,281,343,287,47,0,2,48,94
Forsyth,"360,471","11,962",0.033,"2,655","1,519","1,638","2,264",477,35,"3,256",118
Franklin,"62,697","2,640",0.042,787,773,370,1,612,0,82,15
Gaston,"209,571","6,557",0.031,"2,639","1,365","1,547",620,195,0,57,134
Gates,"11,880",1041,0.088,289,274,174,12,182,0,110,0
Graham,"8,854","2,293",0.259,83,100,34,32,"1,857",1,21,165
Granville,"57,910","2,001",0.035,379,810,45,16,621,1,103,26
Greene,"21,073",330,0.016,135,80,13,5,7,0,90,0
Guilford,"507,419","3,453",0.007,447,934,510,100,819,3,177,473
Halifax,"53,705",109,0.002,27,10,11,10,5,10,12,24
Harnett,"123,316","2,370",0.019,489,721,300,270,168,6,123,293
Haywood,"59,674","2,979",0.05,530,752,645,162,102,3,395,390
Henderson,"109,287","2,232",0.02,291,291,0,0,912,0,260,478
Hertford,"24,621","2,554",0.104,673,621,391,120,54,26,669,0
Hoke,"50,672","1,350",0.027,289,356,289,21,103,3,127,162
Hyde,"5,806","2,074",0.357,546,558,268,71,27,2,27,575
Iredell,"164,974","4,178",0.025,148,325,151,"1,160","1,364",1,"1,002",27
Jackson,"40,810",513,0.013,112,55,76,4,24,4,159,79
Johnston,"177,308","10,740",0.061,"1,304","1,242",83,"6,497",928,7,677,2
Jones,"10,554",340,0.032,79,70,79,0,51,0,54,7
Lee,"59,344",839,0.014,242,195,110,11,178,5,87,11
Lenoir,"59,046","2,546",0.043,499,553,499,59,499,9,352,76
Lincoln,"79,745","3,680",0.046,"1,038",499,631,836,208,55,413,0
Macon,"34,151",968,0.028,251,180,154,4,36,6,242,95
Madison,"21,372","6,264",0.293,"1,652","1,249","1,430",0,"1,699",48,67,119
Martin,"23,750","4,256",0.179,"1,674",367,61,5,243,0,247,"1,659"
McDowell,"45,231","1,523",0.034,524,65,352,0,0,1,407,174
Mecklenburg,"991,867","18,179",0.018,423,"5,414",72,738,"2,066",0,45,"9,421"
Mitchell,"15,407","9,032",0.586,"3,108","2,109","1,459",179,0,30,45,"2,102"
Montgomery,"27,768",373,0.013,167,72,22,7,23,4,36,42
Moore,"91,937","2,321",0.025,301,411,417,44,365,1,270,512
Nash,"94,744","5,217",0.055,"1,380","1,487","1,222",16,0,2,582,528
New Hanover,"213,809","10,446",0.049,"5,645",947,776,"1,725",224,8,"1,121",0
Northampton,"21,244","1,911",0.09,694,482,298,50,12,2,373,0
Onslow,"193,925","1,734",0.009,435,317,402,298,124,9,149,0
Orange,"139,694","8,799",0.063,"3,907",978,642,30,"2,560",0,462,220
Pamlico,"13,071",203,0.016,59,50,25,2,31,4,10,22
