County,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"1,324","4,585",64,11,682,41,135,519
Alexander,49,89,45,11,21,7,11,0
Alleghany,311,247,232,30,271,2,7,108
Anson,6,6,2,0,0,4,4,0
Ashe,134,182,134,42,21,0,5,35
Avery,5,8,6,0,0,2,0,0
Beaufort,56,87,11,0,14,3,0,0
Bertie,71,46,13,9,2,4,19,0
Bladen,173,263,69,13,30,21,245,42
Brunswick,325,197,325,6,232,25,24,600
Buncombe,186,27,83,0,157,68,21,58
Burke,65,57,36,0,292,1,9,76
Cabarrus,"1,455",698,539,28,679,42,12,889
Caldwell,59,60,59,36,59,1,18,21
Camden,132,20,49,0,69,0,1,0
Carteret,245,185,39,10,447,8,30,0
Caswell,36,107,18,2,72,0,6,57
Catawba,372,671,184,32,171,34,70,0
Chatham,50,193,69,102,602,10,325,71
Cherokee,256,243,270,30,146,9,115,25
Chowan,129,19,69,0,124,1,35,0
Clay,219,127,133,31,298,8,0,33
Cleveland,"1,353",334,671,216,213,6,36,273
Columbus,102,236,37,20,22,19,61,0
Craven,464,191,17,53,212,24,2,1
Cumberland,382,382,177,4,62,65,25,0
Currituck,460,48,136,0,290,1,67,0
Dare,33,19,33,12,17,17,1,0
Davidson,144,54,25,13,143,1,2,37
Davie,19,14,7,0,6,0,0,0
Duplin,485,153,55,103,91,1,3,39
Durham,53,86,37,0,153,43,18,0
Edgecombe,109,37,10,4,0,1,0,48
Forsyth,257,133,143,17,126,29,109,60
Franklin,51,71,28,0,60,0,6,0
Gaston,945,116,14,8,475,5,20,44
Gates,25,5,15,2,1,2,6,0
Graham,72,167,28,112,558,3,37,252
Granville,9,63,24,1,62,0,8,27
Greene,27,14,4,0,4,0,1,0
Guilford,395,500,283,0,325,2,21,69
Halifax,49,36,64,32,17,11,23,12
Harnett,85,128,64,25,43,6,18,70
Haywood,156,255,153,46,37,4,78,44
Henderson,402,186,222,2,"1,649",10,32,373
Hertford,130,84,48,7,0,16,47,0
Hoke,35,43,19,17,11,1,24,33
Hyde,293,286,125,31,11,1,16,243
Iredell,48,56,27,49,549,1,204,0
Jackson,22,18,15,4,7,2,58,18
Johnston,36,26,22,0,35,6,27,10
Lee,33,40,14,8,21,0,1,0
Lenior,26,30,26,0,30,1,2,0
Lincoln,648,109,5,11,389,5,15,24
Macon,30,64,22,9,17,2,39,29
Madison,254,94,6,30,351,15,21,19
Martin,38,47,6,0,7,2,0,0
McDowell,96,7,57,0,0,0,299,36
Mecklenburg,663,579,344,3,899,101,2,"1,443"
Mitchell,"1,408",314,303,9,95,97,16,0
Moore,106,73,54,1,83,5,14,139
Nash,217,122,128,9,0,2,16,171
New Hanover,809,404,809,17,557,85,19,207
Northampton,126,89,27,14,0,17,48,0
Onslow,12,12,0,0,4,9,0,0
Orange,"1,638",853,685,2,"1,147",30,6,"1,853"
Pamlico,47,65,4,0,23,1,3,1
Pasquotank,731,95,343,3,471,1,80,0
Pender,52,43,40,4,0,0,17,14
Perquimans,106,2,42,0,61,0,20,0
Pitt,525,997,71,0,212,61,8,2
Polk,28,15,22,7,10,2,3,5
Randolph,354,221,122,101,102,14,34,166
Richmond,65,95,43,5,55,1,4,0
Robeson,128,149,126,0,9,48,47,0
Rockingham,618,481,183,30,575,11,18,"2,009"
Rowan,294,232,188,0,137,4,19,2
Rutherford,69,51,99,21,94,16,19,0
Sampson,166,205,28,89,126,2,21,417
Scotland,90,"1,340",18,0,30,2,84,0
Stanly,18,12,6,30,7,1,11,0
Stokes,27,25,65,0,3,0,21,2
Surry,34,26,63,0,15,0,16,13
Swain,111,192,14,0,13,0,131,327
Transylvania,276,26,25,0,94,0,6,107
Tyrrell,"15,111",120,278,12,50,1,196,76
Union,958,"3,022",325,2,350,16,27,"2,824"
Wake,98,744,39,19,208,107,50,0
Warren,0,0,0,0,0,0,0,0
Washington,10,15,2,0,2,0,3,0
Watauga,31,51,38,1,0,13,5,0
Wayne,89,26,89,0,89,4,34,0
Wilkes,103,26,49,0,54,3,7,199
Wilson,185,64,84,43,54,5,7,242
Yadkin,15,22,15,3,8,0,12,2
Yancey,200,118,200,89,106,5,52,0
