County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"152,531","4,886",0.032,"1,911",493,622,146,748,0,389,577
Alexander,"37,528",0,0,0,0,0,0,0,0,0,0
Alleghany,"11,069","4,963",0.448,"1,077",981,"1,460",133,649,12,246,405
Anson,"25,822","1,189",0.046,249,239,43,62,9,41,432,114
Ashe,"27,423","2,621",0.096,427,751,427,470,42,5,34,465
Avery,"17,834",631,0.035,171,116,102,27,147,5,57,6
Beaufort,"47,854","1,505",0.031,323,319,234,10,182,1,166,270
Bertie,"20,890","1,756",0.084,426,420,139,66,4,3,698,0
Bladen,"35,148","1,820",0.052,376,411,292,62,360,26,293,0
Brunswick,"110,140","11,193",0.102,"1,500","3,421","2,003",250,130,4,711,"3,174"
Buncombe,"243,855","21,175",0.087,"12,914","1,512","2,901",123,666,0,"3,059",0
Burke,"90,722","5,131",0.057,"1,298","1,182",438,22,628,1,827,735
Cabarrus,"181,253","4,961",0.027,904,"1,518","1,016",315,0,0,169,"1,039"
Caldwell,"83,117","5,752",0.069,"1,204","1,877",453,375,883,16,837,107
Camden,"9,921","2,367",0.239,459,939,363,49,427,1,129,0
Carteret,"67,696","8,655",0.128,"4,298","1,328","1,863",267,371,22,116,390
Caswell,"23,654","5,239",0.221,977,867,622,776,0,0,33,"1,964"
Catawba,"154,992","8,368",0.054,"2,997",943,"1,069",303,"1,040",2,"1,756",258
Chatham,"64,553","3,313",0.051,247,521,155,243,"1,191",11,824,121
Cherokee,"27,300","2,997",0.11,593,593,593,250,441,93,434,0
Chowan,"14,796",639,0.043,95,167,69,5,147,0,156,0
Clay,"10,460","3,745",0.358,"1,230","1,219",192,347,458,0,168,131
Cleveland,"98,209","6,221",0.063,181,893,"2,851",88,446,1,634,"1,127"
Columbus,"57,657","4,433",0.077,763,"1,821",796,63,359,33,598,0
Craven,"104,965","1,376",0.013,402,374,183,5,337,1,62,12
Cumberland,"327,643","5,110",0.016,"1,037",273,436,"2,037","1,083",0,244,0
Currituck,"23,643","2,417",0.102,577,494,359,41,711,0,235,0
Dare,"34,216","2,070",0.06,571,471,571,37,120,7,293,0
Davidson,"163,364",735,0.004,165,324,30,2,125,0,89,0
Davie,"41,560","1,898",0.046,709,427,215,2,174,0,332,39
Duplin,"59,476",228,0.004,11,6,72,75,27,10,5,22
Durham,"272,314","2,930",0.011,893,750,437,2,227,16,564,41
Edgecombe,"56,089","1,893",0.034,361,275,369,47,582,1,93,165
Forsyth,"354,878","10,603",0.03,"2,562","2,010","1,789","1,646",884,24,"1,223",465
Franklin,"61,651","6,425",0.104,663,"2,761",878,120,"1,511",0,461,31
Gaston,"207,506","1,674",0.008,430,132,388,426,152,0,46,100
Gates,"11,944",878,0.074,231,333,81,29,118,1,85,0
Graham,"8,942","1,314",0.147,316,665,34,27,0,0,192,80
Granville,"60,863","2,234",0.037,365,"1,082",347,35,291,4,87,23
Greene,"21,489",375,0.017,132,104,13,7,3,0,56,60
Guilford,"495,231","3,464",0.007,369,1418,118,1,747,7,394,410
Halifax,"54,397",551,0.01,180,33,184,54,32,36,32,0
Harnett,"118,615","5,156",0.043,847,"1,509","1,061",26,829,9,316,559
Haywood,"59,684","3,663",0.061,"1,264","1,356",414,95,46,15,451,22
Henderson,"108,448","1,640",0.015,108,205,76,0,766,0,244,241
Hertford,"24,466","7,976",0.326,"3,528","2,608",37,194,795,0,727,87
Hoke,"49,065","1,075",0.022,307,251,244,61,60,4,134,14
Hyde,"5,815","1,951",0.336,628,625,181,19,51,0,53,394
Iredell,"161,522","5,396",0.033,"1,221",576,13,"1,317","1,179",1,"1,089",0
Jackson,"40,606","2,535",0.062,621,490,503,15,190,13,463,240
Johnston,"172,570","4,596",0.027,"1,351",447,115,521,"1,231",12,911,8
Jones,"10,327",860,0.083,283,102,157,59,170,0,40,49
Lee,"58,304","2,366",0.041,522,0,"1,432",34,232,0,89,57
Lenoir,"59,314","2,645",0.045,552,552,552,28,552,13,311,85
Lincoln,"79,026","2,226",0.028,482,328,440,698,90,25,163,0
Macon,"34,459","7,712",0.224,982,"1,291","1,533",87,161,16,"1,808","1,834"
Madison,"21,193","6,114",0.288,"1,634","1,223","1,368",49,"1,659",33,59,89
Martin,"24,083","1,547",0.064,423,193,287,2,93,2,143,404
McDowell,"45,462","2,585",0.057,658,497,623,0,0,0,464,343
Mecklenburg,"940,697","6,536",0.007,"1,472",220,"1,472",254,973,0,"2,145",0
Mitchell,"15,501","7,351",0.474,"2,821","1,943",851,255,0,13,25,"1,443"
Montgomery,"27,864","2,525",0.091,564,513,385,18,486,0,559,0
Moore,"89,395","4,422",0.049,934,"1,180",312,27,"1,017",1,951,0
Nash,"96,122","6,381",0.066,"1,363","1,246","1,661",21,"1,165",4,580,341
New Hanover,"206,774","10,119",0.049,"6,391",899,792,"1,758",82,16,181,0
Northampton,"21,844",849,0.039,373,318,18,9,9,0,111,11
Onslow,"184,228","1,592",0.009,550,15,397,40,413,60,117,0
Orange,"135,776","4,130",0.03,364,833,862,11,"1,428",0,457,175
Pamlico,"13,214",394,0.03,203,38,36,15,23,0,49,30
Pasquotank,"40,438","6,506",0.161,"1,363","2,300","1,006",138,"1,376",1,322,0
Pender,"53,437",742,0.014,304,96,187,42,0,0,26,87
Perquimans,"13,537","1,517",0.112,187,775,122,33,280,0,120,0
Person,"39,700",425,0.011,141,167,26,11,11,4,65,0
Pitt,"170,263","8,280",0.049,"1,147","2,629","1,136",232,418,9,"1,367","1,342"
Polk,"20,453",360,0.018,121,86,84,10,0,0,59,0
Randolph,"142,901","12,470",0.087,"3,437","3,018",709,185,935,39,663,"3,484"
Richmond,"46,459","2,244",0.048,381,688,222,205,521,2,225,0
Robeson,"134,651","5,304",0.039,870,"1,594",870,533,295,26,"1,116",0
Rockingham,"93,558","11,362",0.121,"2,931","1,726","1,256",531,989,45,227,"3,657"
Rowan,"138,309","14,448",0.104,"3,739","3,953","3,801","1,041",860,0,976,78
Rutherford,"68,392","7,085",0.104,"1,635","1,051","2,556",367,235,3,"1,219",19
Sampson,"63,746","5,148",0.081,873,"1,036",910,252,234,3,469,"1,371"
Scotland,"36,029",841,0.023,157,141,138,66,131,12,196,0
Stanly,"60,936",0,0,0,0,0,0,0,0,0,0
Stokes,"47,551","1,069",0.022,245,222,259,2,181,0,160,0
Surry,"73,575","1,354",0.018,414,40,112,153,371,0,7,257
Swain,"14,263","8,033",0.563,"1,306","5,367",926,3,36,0,226,169
Transylvania,"33,275","6,225",0.187,"3,718",738,621,177,529,5,225,212
Tyrrell,"4,342","5,072",1.168,"4,650",147,117,18,77,1,27,35
Union,"205,717","3,731",0.018,508,932,508,638,962,5,178,0
Vance,"45,558",0,0,0,0,0,0,0,0,0,0
Wake,"925,938","6,474",0.007,676,"2,299",209,167,"1,587",1,"1,535",0
Warren,"20,883",445,0.021,149,107,10,11,65,1,102,0
Washington,"13,060","1,926",0.147,388,664,194,9,20,0,334,317
Watauga,"52,111","2,782",0.053,814,"1,212",375,50,108,19,204,0
Wayne,"123,710","1,385",0.011,388,63,388,9,388,5,144,0
Wilkes,"69,592","8,461",0.122,"2,266","1,424","1,889",75,"2,293",3,463,48
Wilson,"81,380","1,814",0.022,565,227,346,167,205,8,226,70
Yadkin,"38,442","1,649",0.043,505,289,387,4,145,2,302,15
Yancey,"18,069","2,854",0.158,526,541,"1,019",374,311,5,78,0
